sex,age,studytime,absences,G1,G2,G3
2,18,2,6,25,30,30
2,17,2,4,25,25,30
2,15,2,10,35,40,50
2,15,3,2,75,70,75
2,16,2,4,30,50,50
1,16,2,10,75,75,75
1,16,2,0,60,60,55
2,17,2,6,30,25,30
1,15,2,0,80,90,95
1,15,2,0,70,75,75
2,15,2,0,50,40,45
2,15,3,4,50,60,60
1,15,1,2,70,70,70
1,15,2,2,50,50,55
1,15,3,0,70,80,80
2,16,1,4,70,70,70
2,16,3,6,65,70,70
2,16,2,4,40,50,50
1,17,1,16,30,25,25
1,16,1,4,40,50,50
1,15,2,0,65,70,75
1,15,1,0,60,75,75
1,16,2,2,75,75,80
1,16,2,0,65,65,60
2,15,3,2,50,45,40
2,16,1,14,30,45,40
1,15,1,2,60,60,55
1,15,1,4,75,80,75
1,16,2,4,55,55,55
1,16,2,16,50,60,55
1,15,2,0,45,55,60
1,15,2,0,85,80,85
1,15,2,0,85,80,80
1,15,2,0,40,50,60
1,16,1,0,60,70,75
2,15,1,0,40,35,30
1,15,3,2,75,80,90
1,16,3,7,75,80,75
2,15,3,2,60,60,55
2,15,1,8,70,65,65
2,16,2,25,35,50,55
1,15,1,8,60,60,60
1,15,2,2,95,90,90
1,15,1,0,40,40,55
2,16,2,14,50,50,45
2,15,2,8,40,40,30
2,16,2,12,55,60,55
1,16,4,4,95,95,100
1,15,2,2,75,75,70
2,15,2,2,35,35,35
2,16,2,2,60,65,65
2,15,2,2,55,65,65
1,15,1,6,55,55,50
2,15,1,0,40,50,55
2,15,1,6,50,65,65
2,16,2,8,40,45,50
2,15,2,0,70,75,75
1,15,2,4,70,75,75
1,15,2,2,45,50,45
2,16,2,2,75,80,80
2,16,2,6,50,55,55
2,16,1,6,50,40,55
2,16,2,4,40,50,45
2,16,3,2,50,45,45
2,15,2,0,50,50,50
2,16,2,2,80,75,75
1,15,4,4,65,65,60
2,16,4,4,35,35,30
2,15,2,2,40,45,40
2,15,4,12,80,80,80
1,16,4,0,65,75,75
1,15,4,0,50,50,50
2,15,2,2,40,30,25
1,16,1,2,60,60,70
2,16,2,54,55,60,55
1,15,2,6,45,45,50
1,15,4,8,55,55,50
2,16,4,0,55,55,55
1,17,1,2,40,40,50
2,16,2,12,25,25,25
1,15,1,2,50,60,60
1,15,3,4,55,50,55
2,15,2,10,35,30,30
1,15,2,4,75,75,75
2,15,2,2,45,50,50
2,15,2,6,35,45,40
2,16,2,4,40,35,30
2,15,3,4,65,70,70
1,16,2,12,55,50,50
1,16,2,18,40,30,35
2,16,3,0,35,35,40
2,15,1,4,80,85,90
2,16,2,4,35,30,30
2,16,2,0,55,50,50
1,15,4,6,55,65,70
2,15,4,2,35,50,50
1,16,1,2,55,75,75
2,16,2,2,40,45,50
2,16,1,6,55,70,70
2,16,3,0,35,45,40
1,16,1,14,35,35,25
1,16,3,0,80,85,85
1,15,1,4,50,65,70
2,15,2,26,35,30,30
1,15,2,0,80,90,90
2,15,4,10,50,55,55
2,15,4,8,35,40,40
1,16,3,2,80,90,90
1,15,4,6,50,65,65
2,16,3,4,70,75,80
1,15,1,6,90,95,95
2,16,3,0,35,50,50
2,16,2,6,50,65,65
1,15,1,10,90,95,95
1,15,2,8,45,45,45
1,16,2,2,75,75,80
1,15,2,2,55,65,70
1,16,1,0,65,70,65
1,17,2,20,45,35,40
1,15,1,6,70,65,65
2,15,2,2,80,75,75
1,15,4,6,80,70,75
2,16,2,2,65,65,65
1,16,1,18,70,55,65
2,16,2,0,40,35,40
1,15,1,0,65,65,60
2,15,2,0,35,50,55
2,19,2,2,35,40,45
1,18,1,0,35,20,0
1,16,1,8,90,90,90
2,15,3,0,60,0,0
